State,City,Address,Designation,Store #,Open Date
Alabama,Adamsville,2473 Hackworth Rd.,Walmart Supercenter,1158,"March 1, 1988"
Alabama,Alabaster,9085 Hwy 119,Neighborhood Market,4756,"September 30, 2015"
Alabama,Alabaster,630 Colonial Promenade Pkwy,Walmart Supercenter,423,"December 1, 1981"
Alabama,Alexander City,2643 Highway 280,Walmart Supercenter,726,"August 4, 1981"
Alabama,Andalusia,1991 M L King Jr Expy,Walmart Supercenter,1091,"October 1, 1987"
Alabama,Anniston,5560 McClellan Blvd.,Walmart Supercenter,329,"April 15, 1980"
Alabama,Arab,1450 N Brindlee Mountain Pkwy,Walmart Supercenter,306,"February 26, 1980"
Alabama,Athens,1011 US Hwy 72 E,Walmart Supercenter,661,"July 4, 1981"
Alabama,Atmore,911 N Main St.,Walmart Supercenter,7247,"August 6, 2014"
Alabama,Attalla,973 Gilbert Ferr Rd. SE,Walmart Supercenter,316,"November 18, 1980"
Alabama,Auburn,1810 Shug Jordan Pkwy,Neighborhood Market,4673,"January 27, 2016"
Alabama,Auburn,2047 E University Dr,Neighborhood Market,5062,"January 13, 2016"