Address,Designation,Store #,Open Date,latitude,longitude
"1151 Stonecrest Blvd., Tega Cay, South Carolina",Walmart Supercenter,3733,"March 7, 2008",35.046191,-80.994007
"2150 E Tangerine Rd., Oro Valley, Arizona",Walmart Supercenter,3379,"October 29, 2008",32.426144,-110.939906
"3200 Lusk Dr., Neosho, Missouri",Walmart Supercenter,17,"May 1, 1969",36.84171,-94.39427
"10300 E Highway 350, Raytown, Missouri",Walmart Supercenter,1094,"October 1, 1987",38.984768,-94.460438
"4517 N Midland Dr., Midland, Texas",Walmart Supercenter,608,"June 29, 1984",32.029424,-102.145934
"1 Hilltop Plaza, Kittanning, Pennsylvania",Walmart Supercenter,1820,"August 4, 1992",40.812462,-79.54401
"8151 E 32nd St., Yuma, Arizona",Walmart Supercenter,4324,"April 18, 2007",32.668615,-114.493093
"9151 S. Quarry Bend Dr., Sandy, Utah",Walmart Supercenter,5235,"March 14, 2007",40.585435,-111.860134
"1356 E Highway 193, Layton, Utah",Neighborhood Market,5205,"March 3, 2004",41.100151,-111.940395
"3706 Diann Marie Rd., Louisville, Kentucky",Walmart Supercenter,526,"May 24, 1983",38.300116,-85.545772
"5050 Troup Hwy., Tyler, Texas",Walmart Supercenter,1044,"June 16, 1987",32.297789,-95.259976
"11900 St. Charles Rock Rd., Bridgeton, Missouri",Walmart Supercenter,1188,"August 16, 1988",38.745045,-90.419142
"1375 Market Square Dr, Springdale, Arkansas",Neighborhood Market,2742,"November 11, 1998",36.173387,-94.162546
"200 Wake Village Road, Wake Village, Texas",Neighborhood Market,4373,"September 9, 2015",33.420247,-94.101091
"2001 US Highway 1, Sebastian, Florida",Walmart Supercenter,1068,"October 20, 1987",27.829307,-80.481708
"10001 Woodlands Pkwy., Woodlands, Texas",Walmart Supercenter,3390,"May 17, 2006",40.750422,-73.996328
"1894 Ridge Avenue, Danville, Indiana",Walmart Supercenter,6476,"January 27, 2016",39.766794,-86.530319
"1410 S Randall Rd, Algonquin, Illinois",Walmart Supercenter,5060,"October 29, 2003",42.170468,-88.335097
"9300 S Interstate 35 Ste. B, Austin, Texas",Walmart Supercenter,5317,"May 18, 2005",30.16313,-97.786956
"1 Cottonvalley Dr NW, Huntsville, Alabama",Clinic Pharmacy,7254,"December 9, 2013",34.830588,-86.638833
"117 Wilton Blvd., New Castle, Delaware",Walmart,2555,"April 21, 1999",39.653639,-75.621507
"4206 S Pleasant Crossing Blvd., Rogers, Arkansas",Walmart,241,"January 31, 2017",36.280648,-94.151515
"100 S Conestoga Dr., Shippensburg, Pennsylvania",Walmart Supercenter,5358,"October 27, 2004",40.062277,-77.497972
"37 Stafford Ln., Delta, Colorado",Walmart Supercenter,5458,"September 15, 2004",38.749609,-108.05355
"665 Boston Post Rd., Old Saybrook, Connecticut",Walmart,2898,"August 22, 2001",41.296682,-72.381942
"26 Hampton House Rd., Newton, New Jersey",Walmart,2604,"January 26, 2000",41.069695,-74.738867
"5010 N 95th Ave., Glendale, Arizona",Walmart Supercenter,3465,"March 19, 2003",33.510159,-112.267029
"5605 University Town Center Drive, Morgantown, West Virginia",Walmart Supercenter,3215,"October 18, 2006",39.645871,-79.998579
"461 W Reservoir Rd., Woodstock, Virginia",Walmart Supercenter,2647,"January 27, 1999",38.869134,-78.530659
"1624 NC 14 Highway, Reidsville, North Carolina",Walmart Supercenter,3304,"October 26, 2005",36.384443,-79.664243
"1972 US Highway 431, Boaz, Alabama",Walmart Supercenter,298,"August 12, 1980",34.214321,-86.156222
"8580 Rock Ridge Dr., Mountain Iron, Minnesota",Walmart Supercenter,4849,"August 13, 2014",47.522611,-92.590891
"3100 E 1st St., Chandler, Oklahoma",Walmart Supercenter,387,"September 21, 1982",35.709732,-96.871499
"300 Walmart Cir., Booneville, Mississippi",Walmart Supercenter,114,"April 1, 1975",34.676637,-88.562911
"2250 Lincoln Ave., Nevada, Missouri",Walmart Supercenter,34,"November 1, 1971",37.83921,-94.35467
"4080 Stevens Creek Blvd., San Jose, California",Neighborhood Market,2486,"July 16, 2014",37.322401,-121.973234
"2052 N State Route 53, Fremont, Ohio",Walmart Supercenter,1429,"January 31, 1990",41.374417,-83.119163
"2700 Ward Blvd., Wilson, North Carolina",Neighborhood Market,4545,"November 11, 2015",35.752463,-77.929303
"1040 Collinsville Crossing Blvd., Collinsville, Illinois",Walmart Supercenter,361,"July 8, 1981",38.719408,-89.913032
"5401 Tinker Diagonal St., Oklahoma City, Oklahoma",Walmart Supercenter,544,"July 1, 1983",35.448327,-97.425592
"2700 S Kirkwood Rd., Houston, Texas",Walmart Supercenter,3296,"January 23, 2002",29.733062,-95.591005
"570 Pamlico Plaza, Washington, North Carolina",Walmart Supercenter,1354,"November 16, 1989",35.559777,-77.063623
"2020 NE Pine Island Road, Cape Coral, Florida",Neighborhood Market,6941,"August 31, 2016",26.671786,-81.928616
"230 State Highway, Franklin, New Jersey",Walmart,2090,"October 13, 1999",41.106968,-74.581488
"920 State Road 136, Baraboo, Wisconsin",Walmart Supercenter,1396,"December 30, 1989",43.458455,-89.772459
"650 Centre of New England Blvd., Coventry, Rhode Island",Walmart Supercenter,2283,"July 25, 1995",41.663216,-71.555132
"2570 County Road 220, Middleburg, Florida",Neighborhood Market,5820,"June 12, 2013",30.100938,-81.774197
"1201 Route 300, Newburgh, New York",Walmart Supercenter,2104,"August 31, 1994",41.536851,-74.071867
"7636 Middle Valley Rd., Hixson, Tennessee",Neighborhood Market,5188,"January 13, 2016",35.187114,-85.189632
"710 N Davis Ave., Cleveland, Mississippi",Walmart Supercenter,1530,"December 31, 1990",33.755281,-90.715568
"8035 Vaughn Rd., Montgomery, Alabama",Neighborhood Market,4691,"March 2, 2016",32.340084,-86.175233
"14720 SW 26th St., Miami, Florida",Neighborhood Market,5719,"January 8, 2020",25.741947,-80.433227
"820 Balmy Beach Drive, Apopka, Florida",Neighborhood Market,6894,"March 28, 2018",28.670561,-81.457157
"2600 State Route 59, Ravenna, Ohio",Walmart Supercenter,2506,"January 29, 1997",41.157701,-81.300226
"2985 E Elizabethtown Rd., Lumberton, North Carolina",Neighborhood Market,7209,"December 10, 2014",34.635851,-78.983202
"2251 E State Highway 54, Linton, Indiana",Walmart Supercenter,1002,"March 3, 1987",39.04963,-87.126965
"2424 N Taylor Ave., Garden City, Kansas",Neighborhood Market,4625,"November 11, 2015",37.987052,-100.882631
"2401 Augusta Rd., West Columbia, South Carolina",Walmart Supercenter,1183,"March 1, 1988",33.980288,-81.099786
"762 Outlet Collection Way, Auburn, Washington",Walmart Supercenter,2385,"November 1, 1995",47.301664,-122.240861
"12900 W Thunderbird Rd., El Mirage, Arizona",Walmart Supercenter,4336,"July 18, 2007",33.610797,-112.336937
"5511 Deep Lake Rd., Oviedo, Florida",Walmart Supercenter,5894,"March 14, 2012",28.617164,-81.260113
"1740 Route 38, Lumberton, New Jersey",Walmart,2841,"October 25, 2000",39.975364,-74.839379
"501 Hampton Pointe B, Hillsborough, North Carolina",Walmart Supercenter,1191,"June 29, 1989",36.055918,-79.085318
"1165 Superior Dr., Saint Johns, Michigan",Walmart Supercenter,1423,"April 2, 1990",43.379171,-84.677616
"1710 Broadway St., Pearland, Texas",Walmart Supercenter,3510,"September 18, 2002",29.547421,-95.233735
"919 Giacone Dr., Benton, Illinois",Walmart Supercenter,262,"July 31, 1979",,
"1730 E Jackson St., Macomb, Illinois",Walmart Supercenter,197,"July 1, 1977",40.460974,-90.642001
"1025 W Trinity Mills Rd., Carrollton, Texas",Clinic Pharmacy,8899,"January 1, 2000",32.981055,-96.912058
"9901 Grant St., Thornton, Colorado",Walmart Supercenter,1231,"November 17, 1988",39.876274,-104.986202
"45415 Dulles Crossing Plaza, Sterling, Virginia",Walmart Supercenter,2038,"January 25, 1994",39.02268,-77.429113
"2202 Pike Rd., Winfield, Kansas",Walmart Supercenter,369,"November 18, 1980",37.227218,-96.993118
"2005 Hutchins Ave., Ballinger, Texas",Walmart,1078,"June 30, 1987",31.72607,-99.958787
"1850 Anderson Rd., Petoskey, Michigan",Walmart Supercenter,2417,"January 29, 1997",45.350236,-84.973224
"3382 Murphy Canyon Road, San Diego, California",Walmart,2177,"November 1, 1995",32.805378,-117.116368
"26036 Lankford Hwy., Onley, Virginia",Walmart Supercenter,4378,"July 21, 2010",37.685989,-75.724542
"765 Hurst Street, Center, Texas",Walmart Supercenter,364,"March 31, 1981",31.802233,-94.19145
"3500 Brumback Blvd., Kenosha, Wisconsin",Walmart Supercenter,1167,"August 16, 1988",42.604773,-87.881585
"75 S Broadview St., Greenbrier, Arkansas",Neighborhood Market,7317,"November 5, 2014",35.225814,-92.389607
"7835 150th St. W, Apple Valley, Minnesota",Walmart Supercenter,2642,"January 27, 1999",,
"305 Singing Oaks, Spring Branch, Texas",Walmart Supercenter,3056,"September 23, 2015",29.801632,-98.422201
"5505 W Owen K. Garriott Rd., Enid, Oklahoma",Walmart Supercenter,499,"July 1, 1983",36.387828,-97.945589
"235 Ridgedale Ave, Cedar Knolls, New Jersey",Walmart,3598,"January 22, 2003",40.809127,-74.457814
"780 Lynnway, Lynn, Massachusetts",Walmart,2139,"May 31, 1995",42.448752,-70.96091
"4909 Buena Vista Rd., Columbus, Georgia",Neighborhood Market,5907,"April 13, 2016",32.468857,-84.910121
"9055 SW Murray Blvd., Beaverton, Oregon",Neighborhood Market,3050,"March 7, 2014",45.454923,-122.828051
"2801 Cunningham Rd., Cincinnati, Ohio",Walmart Supercenter,3749,"May 9, 2007",39.249364,-84.429904
"844 N Colony Rd., Wallingford, Connecticut",Walmart Supercenter,2371,"January 23, 1996",41.477011,-72.810644
"10290 D'Iberville Rd., D'Iberville, Mississippi",Neighborhood Market,6166,"November 5, 2014",30.454524,-88.898516
"4915 N Pima Rd., Scottsdale, Arizona",Walmart Supercenter,2112,"October 18, 1994",33.507627,-111.889899
"934 Route 73, Mount Laurel, New Jersey",Walmart Supercenter,5944,"June 6, 2018",39.932183,-74.962335
"1001 Hwy 65S, McGehee, Arkansas",Walmart,289,"October 30, 1979",33.618399,-91.381728
"1608 Veterans Blvd., McComb, Mississippi",Walmart Supercenter,1025,"April 28, 1987",31.260499,-90.47197
"303 Fallston Blvd., Fallston, Maryland",Walmart Supercenter,3780,"March 16, 2011",39.498677,-76.384934
"2615 NE Bob Bullock Loop, Laredo, Texas",Walmart Supercenter,5713,"May 9, 2012",27.612109,-99.463484
"306 5th St., Clarkston, Washington",Walmart Supercenter,2006,"July 27, 1993",46.422927,-117.044135
"4308 E Grand Ave., Laramie, Wyoming",Walmart Supercenter,1412,"April 2, 1990",41.304004,-105.539403
"4301 Vine St., Hays, Kansas",Walmart Supercenter,664,"October 30, 1984",38.903141,-99.321098
"6087 US Highway 6, Portage, Indiana",Walmart Supercenter,2544,"October 29, 1997",41.548155,-87.17912
"2214 Fayetteville Rd., Van Buren, Arkansas",Walmart Supercenter,16,"April 1, 1969",35.468764,-94.353577
"168 Obed Plaza Ste. 108, Crossville, Tennessee",Walmart Supercenter,687,"July 4, 1981",35.982821,-85.035737
"2109 W Main St., Russellville, Arkansas",Neighborhood Market,4128,"August 13, 2014",35.283626,-93.15294
"117 Marketplace Drive, Hampton, Virginia",Neighborhood Market,3156,"December 10, 2014",37.03671,-76.403592
"10000 SE 82nd Ave., Happy Valley, Oregon",Walmart,5440,"April 13, 2005",45.450699,-122.575338
"585 N State St., Lindon, Utah",Walmart Supercenter,5270,"August 25, 2004",40.348455,-111.731827
"2400 Michigan St., Sidney, Ohio",Walmart Supercenter,1331,"April 3, 1989",40.28985,-84.191917
"6405 Dobbin Rd., Columbia, Maryland",Walmart,5228,"January 28, 2004",39.195733,-76.819914
"2050 N Highway 78, Wylie, Texas",Walmart Supercenter,5210,"August 25, 2004",33.023308,-96.511928
"4900 Jennifer Terrace, Springdale, Arkansas",Neighborhood Market,4375,"May 6, 2015",36.152825,-94.185376
"3137 S Seneca St., Wichita, Kansas",Neighborhood Market,5991,"November 2, 2011",37.637998,-97.354158
"5710 McFarland Blvd., Northport, Alabama",Walmart Supercenter,2306,"May 31, 1995",33.236132,-87.615214
"950 E Greenville Pike, Winchester, Indiana",Walmart Supercenter,1480,"October 1, 1991",40.165071,-84.964199
"2908 US Highway 70 W, Goldsboro, North Carolina",Walmart Supercenter,4564,"November 7, 2007",35.43158,-78.061684
"1419 N Country Club Rd., Ada, Oklahoma",Walmart Supercenter,231,"September 19, 1978",34.789958,-96.652482
"137 W North Ave, Northlake, Illinois",Walmart,1933,"July 27, 1993",41.904638,-87.90864
"990 Missouri Ave. N, Largo, Florida",Walmart Supercenter,1712,"February 4, 1992",27.926593,-82.785909
"625 School St., Putnam, Connecticut",Walmart Supercenter,1980,"September 19, 1995",41.924113,-71.886176
"839 US Highway 130, East Windsor, New Jersey",Walmart,3266,"May 4, 2005",40.253981,-74.553282
"2750 Cook Rd., West Branch, Michigan",Walmart Supercenter,5159,"January 21, 2004",44.254592,-84.224961
"1501 N Interstate 27, Plainview, Texas",Walmart Supercenter,927,"August 5, 1986",34.132252,-101.749861
"1000 18th Ave. NW, Austin, Minnesota",Walmart Supercenter,4257,"July 16, 2008",43.684931,-92.986364
"1135 Berkshire Blvd., Wyomissing, Pennsylvania",Walmart,1670,"September 11, 1991",40.344187,-75.975559
"4313 Corunna Rd., Flint, Michigan",Walmart Supercenter,1928,"March 31, 1993",42.999959,-83.764461
"700 6th St. N, Socorro, New Mexico",Walmart Supercenter,5492,"January 26, 2005",34.11164,-107.243021
"10355 Trinity Pkwy., Stockton, California",Walmart Supercenter,3352,"July 18, 2012",38.048958,-121.37384
"4145 Dowlen Rd., Beaumont, Texas",Walmart Supercenter,651,"June 29, 1984",30.12196,-94.164136
"100 E Wallace Kneeland Blvd., Shelton, Washington",Walmart Supercenter,2121,"October 18, 1994",47.233047,-123.125738
"5110 College Ave., Snyder, Texas",Walmart Supercenter,1272,"April 3, 1989",32.691018,-100.91789
"2451 S Springfield Ave., Bolivar, Missouri",Walmart Supercenter,46,"August 1, 1972",37.595452,-93.402768
"3221 N Monroe St., Tallahassee, Florida",Walmart Supercenter,4427,"March 18, 2009",30.488843,-84.318553
"951 N Resler Dr., El Paso, Texas",Neighborhood Market,4366,"February 13, 2008",31.861599,-106.558131
"250 Highlands Square Dr., Hendersonville, North Carolina",Walmart Supercenter,1242,"November 1, 1988",35.349401,-82.437539
"1215 E 16th Ave., Cordele, Georgia",Walmart Supercenter,1006,"October 28, 1987",31.964051,-83.760952
"10 E 1300 S, Richfield, Utah",Walmart Supercenter,5168,"January 21, 2004",38.748326,-112.084784
"3016 Canton Street, Hopkinsville, Kentucky",Neighborhood Market,5059,"November 16, 2016",36.860467,-87.512713
"240 Wal Mart Way, Maysville, Kentucky",Walmart Supercenter,1569,"January 30, 1991",38.621503,-83.786868
"640 SE 4th St., Moore, Oklahoma",Neighborhood Market,2393,"August 2, 2000",,
"6626 FM 1960 Rd. E, Humble, Texas",Walmart Supercenter,744,"October 16, 1984",29.99566,-95.176363
"10240 Hudson Rd., Woodbury, Minnesota",Walmart Supercenter,2643,"September 14, 2005",44.946228,-92.896917
"2424 W Jefferson St., Joliet, Illinois",Walmart Supercenter,1256,"April 3, 1989",41.522057,-88.141464
"3351 S Ferdon Blvd., Crestview, Florida",Walmart Supercenter,944,"June 17, 1986",30.727834,-86.564549
"5137 W Olive Ave., Glendale, Arizona",Neighborhood Market,3844,"January 19, 2011",33.564926,-112.169988
"8101 S John Young Pkwy., Orlando, Florida",Walmart Supercenter,908,"July 15, 1986",28.448177,-81.42483
"6 Conley Rd., La Junta, Colorado",Walmart Supercenter,1384,"January 31, 1990",37.997895,-103.591688
"510 Avenue C, Denison, Iowa",Walmart Supercenter,1732,"November 5, 1991",42.025119,-95.372049
"400 Tucker Rd., Tehachapi, California",Walmart Supercenter,4317,"August 7, 2019",35.208437,-118.828899
"5315 Cortez Rd. W, Bradenton, Florida",Walmart Supercenter,1004,"March 31, 1987",27.460132,-82.615261
"2200 S McKenzie St., Foley, Alabama",Walmart Supercenter,904,"January 21, 1986",30.382341,-87.6857
"6225 Coliseum Blvd., Alexandria, Louisiana",Walmart Supercenter,4295,"May 21, 2008",31.291959,-92.513946
"111 N Perkins Rd., Stillwater, Oklahoma",Walmart Supercenter,137,"October 1, 1976",36.124743,-97.04877
"2610 N Prospect Ave., Champaign, Illinois",Walmart Supercenter,1734,"December 31, 1991",40.147191,-88.254698
"1630 Plant Ave, Waycross, Georgia",Neighborhood Market,4527,"October 28, 2015",31.220181,-82.346077
"7245 US 31 S, Indianapolis, Indiana",Walmart Supercenter,1459,"May 30, 1990",39.661539,-86.145198
"4240 Yellowstone Ave., Chubbuck, Idaho",Walmart Supercenter,1995,"August 31, 1993",42.909839,-112.46357
"131 Handley Boulevard, Byram, Mississippi",Walmart Supercenter,6469,"January 27, 2016",32.187019,-90.262899
"2940 Anvil Block Rd., Ellenwood, Georgia",Walmart Supercenter,3609,"May 7, 2008",33.635704,-84.293419
"4965 Highway 90, Milton, Florida",Walmart Supercenter,990,"September 16, 1986",30.600837,-87.116855
"5955 Zebulon Rd., Macon, Georgia",Walmart Supercenter,2890,"March 17, 2004",32.882193,-83.760123
"200 Frontier St., Lexington, Nebraska",Walmart Supercenter,637,"February 5, 1985",40.744891,-99.742081
"490 E Silverado Ranch Blvd., Las Vegas, Nevada",Neighborhood Market,5269,"January 26, 2005",36.014219,-115.153074
"1300 Dallas Cherryville Rd., Dallas, North Carolina",Neighborhood Market,7004,"November 5, 2014",35.317325,-81.196182
"10096 Kenai Spur Hwy, Kenai, Alaska",Walmart Supercenter,4474,"March 31, 2010",60.563956,-151.226299
"1325 Main Ave., Taylor, Pennsylvania",Walmart Supercenter,4276,"November 10, 2010",41.395756,-75.689515
"5680 Hammonds Mill Rd., Martinsburg, West Virginia",Walmart Supercenter,4423,"March 5, 2008",39.542949,-77.910107
"3811 Clyde Morris Blvd., Port Orange, Florida",Neighborhood Market,3629,"August 3, 2016",29.142507,-81.033577
"7405 Debarr Road, Anchorage, Alaska",Walmart Supercenter,4359,"September 25, 2013",61.209899,-149.743371
"7855 SW Hwy. 200, Ocala, Florida",Neighborhood Market,4434,"August 3, 2016",29.087221,-82.250806
"255 Lincoln Blvd., Lincoln, California",Neighborhood Market,5979,"September 19, 2012",38.888596,-121.292601
"8115 North Loop Dr., El Paso, Texas",Neighborhood Market,4415,"April 11, 2007",31.728527,-106.34541
"5875 E Franklin Rd., Nampa, Idaho",Walmart Supercenter,3739,"October 18, 2006",43.603483,-116.511064
"1221 E Main St., Marshall, Minnesota",Walmart Supercenter,1722,"November 5, 1991",44.296139,-94.707251
"200 Columbus Corners Dr., Whiteville, North Carolina",Walmart Supercenter,1268,"February 2, 1989",34.303014,-78.724667
"819 N Oak St., Pearsall, Texas",Walmart,478,"March 6, 1984",28.897878,-99.093475
"1905 N 14th Ave., Dodge City, Kansas",Walmart Supercenter,372,"March 10, 1981",37.768527,-100.035841
"6300 Oakmont Blvd., Fort Worth, Texas",Walmart Supercenter,590,"August 31, 1984",32.664537,-97.405063
"1400 Skyline Blvd., Bismarck, North Dakota",Walmart Supercenter,3648,"April 19, 2006",46.858098,-100.768499
"5991 S Goldenrod Rd., Orlando, Florida",Walmart Supercenter,3782,"March 7, 2008",28.473958,-81.287554
"6850 Gulfport Blvd. S, Pasadena, Florida",Neighborhood Market,3161,"April 9, 2014",,
"17100 State Route 507 SE, Yelm, Washington",Walmart Supercenter,3705,"July 18, 2007",46.934426,-122.577689
"673 Cedar Road, Chesapeake, Virginia",Neighborhood Market,3330,"August 13, 2014",36.709795,-76.26477
"1120 S Anaheim Blvd., Anaheim, California",Neighborhood Market,5640,"September 19, 2012",33.819474,-117.908042
"6811 Southcrest Pkwy., Southaven, Mississippi",Walmart Supercenter,848,"November 12, 1985",34.96286,-89.99449
"2700 W State St., Alliance, Ohio",Walmart Supercenter,2541,"October 29, 1997",40.900606,-81.160876
"1610 North Riverside Drive, Española, New Mexico",Walmart Supercenter,2656,"January 27, 1999",36.015385,-106.067471
"1863 CR 5300, Coffeyville, Kansas",Walmart Supercenter,42,"February 1, 1973",37.042381,-95.578926
"66 State Road 344, Edgewood, New Mexico",Walmart Supercenter,4021,"March 7, 2008",35.074689,-106.191622
"11465 Tara Blvd., Lovejoy, Georgia",Walmart Supercenter,5363,"January 26, 2005",33.442658,-84.324896
"5175 Brookberry Park Avenue, Winston-Salem, North Carolina",Neighborhood Market,6814,"December 10, 2014",36.094124,-80.367582
"115 Seymour Drive, Derby, Vermont",Walmart Supercenter,4156,"November 16, 2016",44.950484,-72.171959
"1400 Hilltop Mall Rd., Richmond, California",Walmart,3455,"April 11, 2007",37.947523,-122.384032
"1800 E 29th St., Crete, Nebraska",Walmart Supercenter,4322,"June 13, 2007",40.640626,-96.940129
