zip,ruca,city,state_name,population,county,median_household_income
01001,Urban,Agawam,Massachusetts,"16,088",Hampden,"$72,444"
01002,Urban,Amherst,Massachusetts,"27,323",Hampshire,"$65,013"
01003,Urban,Amherst,Massachusetts,"13,711",Hampshire,
01005,Suburban,Barre,Massachusetts,"4,947",Worcester,"$103,477"
01007,Urban,Belchertown,Massachusetts,"15,304",Hampshire,"$101,076"
01008,Suburban,Blandford,Massachusetts,"1,171",Hampden,"$79,573"
01009,Urban,Bondsville,Massachusetts,800,Hampden,"$64,809"
01010,Suburban,Brimfield,Massachusetts,"3,703",Hampden,"$84,830"
01011,Suburban,Chester,Massachusetts,"1,332",Hampden,"$75,640"
01012,Suburban,Chesterfield,Massachusetts,503,Hampshire,"$68,894"
01013,Urban,Chicopee,Massachusetts,"22,709",Hampden,"$52,721"
01020,Urban,Chicopee,Massachusetts,"30,704",Hampden,"$61,963"
01022,Urban,Chicopee,Massachusetts,"2,235",Hampden,"$50,134"
01026,Suburban,Cummington,Massachusetts,"1,071",Hampshire,"$76,100"
01027,Urban,Easthampton,Massachusetts,"17,708",Hampshire,"$64,330"